tenant_id,date,gas_m3,water_m3,electricity_kwh,transaction_id,amount,tenor,addres,status,tenant_name,tenant_email,tenant_phone,tenant_address,industry,location,efficiency
T000,2024-01-01,952,96,2057,,,,,,Fernandez-Hunter,chelsea14@example.org,804.985.4359,"409 Brandi Land
East Joseph, UT 40228",Utilities,Bogor,
T000,2024-01-02,947,53,2850,,,,,,Fernandez-Hunter,chelsea14@example.org,804.985.4359,"409 Brandi Land
East Joseph, UT 40228",Utilities,Bogor,
T000,2024-01-03,181,52,4371,,,,,,Fernandez-Hunter,chelsea14@example.org,804.985.4359,"409 Brandi Land
East Joseph, UT 40228",Utilities,Bogor,
T000,2024-01-04,744,94,3724,,,,,,Fernandez-Hunter,chelsea14@example.org,804.985.4359,"409 Brandi Land
East Joseph, UT 40228",Utilities,Bogor,
T000,2024-01-05,778,30,2232,TRX05,209251.0,12.0,Cikarang,Default,Fernandez-Hunter,chelsea14@example.org,804.985.4359,"409 Brandi Land
East Joseph, UT 40228",Utilities,Bogor,93.75044802867383
T001,2024-01-01,875,76,537,,,,,,"Arnold, Carlson and Lewis",victor70@example.net,383.974.6097x61721,"6592 Emily Mall Apt. 969
West Theresa, WA 01135",Tech,Cikarang,
T001,2024-01-02,812,31,4891,,,,,,"Arnold, Carlson and Lewis",victor70@example.net,383.974.6097x61721,"6592 Emily Mall Apt. 969
West Theresa, WA 01135",Tech,Cikarang,
T001,2024-01-03,632,51,1662,,,,,,"Arnold, Carlson and Lewis",victor70@example.net,383.974.6097x61721,"6592 Emily Mall Apt. 969
West Theresa, WA 01135",Tech,Cikarang,
T001,2024-01-04,554,73,1058,,,,,,"Arnold, Carlson and Lewis",victor70@example.net,383.974.6097x61721,"6592 Emily Mall Apt. 969
West Theresa, WA 01135",Tech,Cikarang,
T001,2024-01-05,281,41,2204,TRX15,142739.0,6.0,Jakarta,No-Default,"Arnold, Carlson and Lewis",victor70@example.net,383.974.6097x61721,"6592 Emily Mall Apt. 969
West Theresa, WA 01135",Tech,Cikarang,64.76361161524501
T002,2024-01-01,777,71,4138,,,,,,Payne Inc,ysmith@example.org,656.383.5087,"3454 Emily Ridge Suite 825
Washingtonchester, SD 17261",Tech,Cikarang,
T002,2024-01-02,524,93,4136,,,,,,Payne Inc,ysmith@example.org,656.383.5087,"3454 Emily Ridge Suite 825
Washingtonchester, SD 17261",Tech,Cikarang,
T002,2024-01-03,586,37,4971,,,,,,Payne Inc,ysmith@example.org,656.383.5087,"3454 Emily Ridge Suite 825
Washingtonchester, SD 17261",Tech,Cikarang,
T002,2024-01-04,819,58,2323,,,,,,Payne Inc,ysmith@example.org,656.383.5087,"3454 Emily Ridge Suite 825
Washingtonchester, SD 17261",Tech,Cikarang,
T002,2024-01-05,823,23,3612,TRX25,427043.0,6.0,Jakarta,Default,Payne Inc,ysmith@example.org,656.383.5087,"3454 Emily Ridge Suite 825
Washingtonchester, SD 17261",Tech,Cikarang,118.22895902547066
T003,2024-01-01,196,76,4021,,,,,,Miller-Cole,wellsstephanie@example.com,542-329-6156,"1744 Hale Curve Apt. 965
Medinabury, VI 66477",Manufacturing,Bandung,
T003,2024-01-02,803,41,2054,,,,,,Miller-Cole,wellsstephanie@example.com,542-329-6156,"1744 Hale Curve Apt. 965
Medinabury, VI 66477",Manufacturing,Bandung,
T003,2024-01-03,838,69,2250,,,,,,Miller-Cole,wellsstephanie@example.com,542-329-6156,"1744 Hale Curve Apt. 965
Medinabury, VI 66477",Manufacturing,Bandung,
T003,2024-01-04,555,76,1688,,,,,,Miller-Cole,wellsstephanie@example.com,542-329-6156,"1744 Hale Curve Apt. 965
Medinabury, VI 66477",Manufacturing,Bandung,
T003,2024-01-05,726,77,3852,TRX35,404344.0,12.0,Surabaya,Default,Miller-Cole,wellsstephanie@example.com,542-329-6156,"1744 Hale Curve Apt. 965
Medinabury, VI 66477",Manufacturing,Bandung,104.96988577362409
T004,2024-01-01,659,28,4623,,,,,,Smith-Sampson,mcgeelaura@example.net,480-228-5299x1504,"0309 Carlos Ford
Davidmouth, MA 43466",Utilities,Surabaya,
T004,2024-01-02,420,23,2802,,,,,,Smith-Sampson,mcgeelaura@example.net,480-228-5299x1504,"0309 Carlos Ford
Davidmouth, MA 43466",Utilities,Surabaya,
T004,2024-01-03,409,64,1764,,,,,,Smith-Sampson,mcgeelaura@example.net,480-228-5299x1504,"0309 Carlos Ford
Davidmouth, MA 43466",Utilities,Surabaya,
T004,2024-01-04,407,95,3596,,,,,,Smith-Sampson,mcgeelaura@example.net,480-228-5299x1504,"0309 Carlos Ford
Davidmouth, MA 43466",Utilities,Surabaya,
T004,2024-01-05,710,21,4671,TRX45,160776.0,6.0,Jakarta,Default,Smith-Sampson,mcgeelaura@example.net,480-228-5299x1504,"0309 Carlos Ford
Davidmouth, MA 43466",Utilities,Surabaya,34.420038535645475
T005,2024-01-01,172,26,2740,,,,,,Ramos and Sons,shari64@example.net,001-384-873-3875x342,"66114 Peterson Passage
West Anthony, OR 46481",Utilities,Cikarang,
T005,2024-01-02,555,100,4371,,,,,,Ramos and Sons,shari64@example.net,001-384-873-3875x342,"66114 Peterson Passage
West Anthony, OR 46481",Utilities,Cikarang,
T005,2024-01-03,806,74,2002,,,,,,Ramos and Sons,shari64@example.net,001-384-873-3875x342,"66114 Peterson Passage
West Anthony, OR 46481",Utilities,Cikarang,
T005,2024-01-04,563,35,4968,,,,,,Ramos and Sons,shari64@example.net,001-384-873-3875x342,"66114 Peterson Passage
West Anthony, OR 46481",Utilities,Cikarang,
T005,2024-01-05,117,43,4445,TRX55,286871.0,3.0,Bandung,Default,Ramos and Sons,shari64@example.net,001-384-873-3875x342,"66114 Peterson Passage
West Anthony, OR 46481",Utilities,Cikarang,64.53790776152981
T006,2024-01-01,705,75,1253,,,,,,Gregory-Faulkner,daniel85@example.net,(959)687-7776x711,"384 Baker Junctions Apt. 255
West Amandaburgh, OH 84189",Manufacturing,Bandung,
T006,2024-01-02,535,13,1366,,,,,,Gregory-Faulkner,daniel85@example.net,(959)687-7776x711,"384 Baker Junctions Apt. 255
West Amandaburgh, OH 84189",Manufacturing,Bandung,
T006,2024-01-03,129,72,3510,,,,,,Gregory-Faulkner,daniel85@example.net,(959)687-7776x711,"384 Baker Junctions Apt. 255
West Amandaburgh, OH 84189",Manufacturing,Bandung,
T006,2024-01-04,452,28,1032,,,,,,Gregory-Faulkner,daniel85@example.net,(959)687-7776x711,"384 Baker Junctions Apt. 255
West Amandaburgh, OH 84189",Manufacturing,Bandung,
T006,2024-01-05,100,37,1525,TRX65,396025.0,12.0,Bandung,Default,Gregory-Faulkner,daniel85@example.net,(959)687-7776x711,"384 Baker Junctions Apt. 255
West Amandaburgh, OH 84189",Manufacturing,Bandung,259.6885245901639
T007,2024-01-01,985,81,4928,,,,,,"Burke, Griffin and Clay",gpeterson@example.org,843.412.6925,"0281 Jones Turnpike Apt. 672
Lake Wanda, SC 29013",Tech,Bogor,
T007,2024-01-02,135,62,2270,,,,,,"Burke, Griffin and Clay",gpeterson@example.org,843.412.6925,"0281 Jones Turnpike Apt. 672
Lake Wanda, SC 29013",Tech,Bogor,
T007,2024-01-03,93,25,1011,,,,,,"Burke, Griffin and Clay",gpeterson@example.org,843.412.6925,"0281 Jones Turnpike Apt. 672
Lake Wanda, SC 29013",Tech,Bogor,
